Date,Town,State/Province,Latitude,Longitude,Number,Image,S.No
2019-09-10,Mechanicville,NY,42.9,-73.7,1.0,,6872.0
2019-09-10,Westfield,NY,42.3,-79.6,6.0,,6883.0
2019-09-10,South Bend,IN,41.7,-86.3,7.0,,6882.0
2019-09-10,Scugog,ON,44.2,-78.9,2.0,,6881.0
2019-09-10,Downers Grove,IL,41.8,-88.0,1.0,,6871.0
2019-09-10,Lusby,MD,38.4,-76.5,1.0,,6879.0
2019-09-10,Madison,WI,43.1,-89.5,3.0,,6880.0
2019-09-10,Norway,ME,44.2,-70.6,3.0,,6877.0
2019-09-10,Norway,ME,44.3,-70.6,3.0,,6876.0
2019-09-10,Georgian Bay,ON,44.9,-79.7,7.0,,6875.0
2019-09-10,Mission Hill,SD,43.0,-97.3,2.0,,6874.0
2019-09-10,Halifax,NS,44.7,-63.8,2.0,,6873.0
2019-09-10,Kaufman,TX,32.6,-96.2,1.0,,6878.0
2019-09-11,Morrisville,NC,35.8,-78.8,3.0,,6768.0
2019-09-11,Saint Louis,MO,38.6,-90.3,2.0,,6794.0
2019-09-11,Annapolis,MD,38.9,-76.5,1.0,,6796.0
2019-09-11,Brownfield,ME,43.9,-70.9,20.0,,6795.0
2019-09-11,Bloomingdale,NJ,41.0,-74.3,3.0,,6767.0
2019-09-11,Frederick,MD,39.4,-77.4,25.0,,6793.0
2019-09-11,Leonard,MI,42.8,-83.2,1.0,,6791.0
2019-09-11,Waterloo,ON,43.5,-80.6,4.0,,6685.0
2019-09-11,Central Elgin,ON,42.7,-81.2,100.0,,6686.0
2019-09-11,East Garafraxa,ON,43.9,-80.2,14.0,,6687.0
2019-09-11,Newton,NJ,41.1,-74.8,4.0,,6688.0
2019-09-11,Saunderstown,RI,41.5,-71.5,1.0,,6689.0
2019-09-11,Lakewood,OH,41.5,-81.8,2.0,,6690.0
2019-09-11,Martin,TN,36.4,-88.8,1.0,,6691.0
2019-09-11,Willis,MI,42.1,-83.6,46.0,,6692.0
2019-09-11,Alexandria Bay,NY,44.3,-75.9,3.0,,6693.0
2019-09-11,Ballwin,MO,38.6,-90.5,2.0,,6694.0
2019-09-11,Big Rapids Twp,MI,43.7,-85.6,2.0,,6695.0
2019-09-11,Sainte-Julienne,QC,46.0,-73.7,2.0,,6696.0
2019-09-11,Spring Arbor,MI,42.2,-84.6,1.0,,6697.0
2019-09-11,Shawnee,KS,39.0,-94.7,3.0,,6698.0
2019-09-11,Stewart,TN,36.3,-87.8,4.0,,6699.0
2019-09-11,San Diego,CA,32.7,-117.2,4.0,,6700.0
2019-09-11,Linville,NC,36.1,-81.8,1.0,,6701.0
2019-09-11,Muskoka Lakes,ON,45.1,-79.7,1.0,,6702.0
2019-09-11,Bethesda,MD,39.0,-77.1,1.0,,6703.0
2019-09-11,Westborough,MA,42.3,-71.6,12.0,,6704.0
2019-09-11,Toronto,ON,43.7,-79.5,1.0,,6705.0
2019-09-11,Rockwood,TN,35.9,-84.7,1.0,,6706.0
2019-09-11,Charleston,SC,32.8,-80.1,3.0,,6707.0
2019-09-11,Toronto,ON,43.7,-79.4,2.0,,6708.0
2019-09-11,Baldwinsville,NY,43.2,-76.3,3.0,,6709.0
2019-09-11,Florence,MS,32.1,-90.2,1.0,,6710.0
2019-09-11,West Bend,WI,43.4,-88.3,2.0,,6711.0
2019-09-11,Toronto,ON,43.6,-79.5,150.0,,6684.0
2019-09-11,Harrisville,MI,44.7,-83.3,8.0,,6712.0
2019-09-11,Toronto,ON,43.7,-79.4,2.0,,6683.0
2019-09-11,Mariposa,CA,37.5,-119.9,1.0,,6681.0
2019-09-11,Wappingers Falls,NY,41.5,-74.0,6.0,,6769.0
2019-09-11,Fort Lee,NJ,40.9,-74.0,2.0,,6770.0
2019-09-11,Augusta,GA,33.5,-82.1,1.0,,6771.0
2019-09-11,Omaha,NE,41.3,-96.0,3.0,,6772.0
2019-09-11,Saint Paul,MN,44.9,-93.2,1.0,,6773.0
2019-09-11,Newton,NH,42.9,-71.0,1.0,,6774.0
2019-09-11,Toronto,ON,43.6,-79.5,6.0,,6775.0
2019-09-11,Masontown,WV,39.6,-79.8,3.0,,6776.0
2019-09-11,Palatine,IL,42.1,-88.0,1.0,,6777.0
2019-09-11,Toronto,ON,43.6,-79.5,6.0,,6778.0
2019-09-11,Santa Rosa,CA,38.4,-122.7,1.0,,6779.0
2019-09-11,Dover,NH,43.2,-70.9,1.0,,6780.0
2019-09-11,Mill Valley,CA,37.9,-122.5,1.0,,6781.0
2019-09-11,Claflin,KS,38.4,-98.6,6.0,,6782.0
2019-09-11,Eulalia Twp,PA,41.8,-78.0,99.0,,6668.0
2019-09-11,Hebron Twp,PA,41.8,-78.0,1.0,,6669.0
2019-09-11,Hammond,IN,41.6,-87.4,1.0,,6670.0
2019-09-11,Hammond,IN,41.6,-87.4,1.0,,6671.0
2019-09-11,Highland,IN,41.5,-87.4,1.0,,6672.0
2019-09-11,Clearview,ON,44.4,-80.0,10.0,,6673.0
2019-09-11,Northern Bruce Peninsula,ON,45.3,-81.6,1.0,,6674.0
2019-09-11,Media,PA,39.9,-75.4,1.0,,6675.0
2019-09-11,Litchfield,CT,41.7,-73.2,1.0,,6676.0
2019-09-11,New Albany,IN,38.3,-85.8,1.0,,6677.0
2019-09-11,Akron,OH,41.1,-81.5,1.0,,6678.0
2019-09-11,Ottawa,ON,45.3,-75.8,4.0,,6679.0
2019-09-11,Fond Du Lac,WI,43.8,-88.5,6.0,,6680.0
2019-09-11,Lakewood,OH,41.5,-81.8,2.0,,6682.0
2019-09-11,Howell,MI,42.7,-83.9,1.0,,6792.0
2019-09-11,Amherst,MA,42.4,-72.5,1.0,,6713.0
2019-09-11,Kingston,NY,42.0,-74.0,3.0,,6715.0
2019-09-11,Chatham-Kent,ON,42.4,-82.2,30.0,,6747.0
2019-09-11,Naperville,IL,41.7,-88.1,2.0,,6748.0
2019-09-11,Germantown,MD,39.2,-77.3,5.0,,6749.0
2019-09-11,Tamworth,NH,43.9,-71.4,6.0,,6750.0
2019-09-11,Meredith,NH,43.7,-71.5,7.0,,6751.0
2019-09-11,Warren,MI,42.5,-83.1,3.0,,6752.0
2019-09-11,Mankato,MN,44.2,-94.0,4.0,,6753.0
2019-09-11,Port Clinton,OH,41.5,-82.9,7.0,,6754.0
2019-09-11,Cincinnati,OH,39.1,-84.6,1.0,,6755.0
2019-09-11,Willistown Twp,PA,40.0,-75.4,1.0,,6756.0
2019-09-11,Jamestown,NY,42.1,-79.2,1.0,,6757.0
2019-09-11,Lakeville,CT,42.0,-73.4,1.0,,6758.0
2019-09-11,London,ON,43.0,-81.3,50.0,,6759.0
2019-09-11,Caldwell,NJ,40.9,-74.3,2.0,,6760.0
2019-09-11,Madison,WI,43.1,-89.4,2.0,,6761.0
2019-09-11,Lowville,NY,43.8,-75.5,1.0,,6762.0
2019-09-11,Oxford,OH,39.5,-84.8,2.0,,6763.0
2019-09-11,Bloomington,IN,39.0,-86.6,1.0,,6764.0
2019-09-11,Oak Creek,WI,42.9,-87.9,18.0,,6765.0
2019-09-11,Town of Washington,WI,44.7,-91.5,1.0,,6783.0
2019-09-11,Bartlesville,OK,36.7,-95.9,1.0,,6784.0
2019-09-11,Wyncote,PA,40.1,-75.1,2.0,,6785.0
2019-09-11,Butler,PA,40.9,-79.9,1.0,,6786.0
2019-09-11,Lyndonville,NY,43.4,-78.3,50.0,,6787.0
2019-09-11,Brimfield,MA,42.1,-72.2,3.0,,6788.0
2019-09-11,Mankato,MN,44.2,-94.0,200.0,,6789.0
2019-09-11,Phelps,NY,43.0,-77.1,1.0,,6790.0
2019-09-11,Milford,OH,39.2,-84.3,3.0,,6746.0
2019-09-11,Poynette,WI,43.4,-89.4,1.0,,6714.0
2019-09-11,Rhodes,IA,41.9,-93.2,75.0,,6745.0
2019-09-11,Laval,QC,45.6,-73.7,1.0,,6743.0
2019-09-11,Windham,NH,42.8,-71.3,3.0,,6716.0
2019-09-11,Grand Island,NE,40.9,-98.4,1.0,,6717.0
2019-09-11,Chestertown,NY,43.6,-73.8,10.0,,6718.0
2019-09-11,Hamilton,ON,43.2,-80.0,5.0,,6719.0
2019-09-11,Wernersville,PA,40.3,-76.1,30.0,,6720.0
2019-09-11,Madison,WI,43.0,-89.4,100.0,,6721.0
2019-09-11,Ottawa,ON,45.3,-75.8,1.0,,6722.0
2019-09-11,Keene,NH,42.9,-72.3,1.0,,6723.0
2019-09-11,Lanark Highlands,ON,45.0,-76.4,1.0,,6724.0
2019-09-11,Waterloo,QC,45.3,-72.5,1.0,,6725.0
2019-09-11,Georgian Bay,ON,44.9,-79.7,4.0,,6726.0
2019-09-11,Leonard,MI,42.8,-83.2,1.0,,6727.0
2019-09-11,Tulsa,OK,36.0,-95.9,1.0,,6728.0
2019-09-11,Kinston,NC,35.3,-77.6,1.0,,6729.0
2019-09-11,Melbourne,IA,41.9,-93.1,60.0,,6730.0
2019-09-11,Milwaukee,WI,43.0,-87.9,22.0,,6731.0
2019-09-11,Farmington,MI,42.5,-83.4,2.0,,6732.0
2019-09-11,Alexandria Bay,NY,44.3,-75.9,1.0,,6733.0
2019-09-11,Hartland,ME,44.9,-69.5,6.0,,6734.0
2019-09-11,Sun Prairie,WI,43.2,-89.2,5.0,,6735.0
2019-09-11,Carthage,IN,39.7,-85.6,4.0,,6736.0
2019-09-11,Knightstown,IN,39.8,-85.5,1.0,,6737.0
2019-09-11,Brampton,ON,43.8,-79.8,2.0,,6738.0
2019-09-11,Waterville,ME,44.5,-69.6,1.0,,6739.0
2019-09-11,Stroudsburg,PA,41.0,-75.2,2.0,,6740.0
2019-09-11,Toronto,ON,43.7,-79.5,4.0,,6741.0
2019-09-11,Lusby,MD,38.4,-76.5,1.0,,6742.0
2019-09-11,Oklahoma City,OK,35.5,-97.6,2.0,,6744.0
2019-09-11,Fairfield,PA,39.8,-77.4,1.0,,6766.0
2019-09-12,San Antonio,TX,29.7,-98.5,1.0,,6653.0
2019-09-12,Longview,TX,32.5,-94.7,3.0,,6558.0
2019-09-12,Belleville,KS,39.8,-97.6,1.0,,6577.0
2019-09-12,Crown Point,IN,41.4,-87.3,3.0,,6578.0
2019-09-12,Scranton,PA,41.4,-75.7,1.0,,6579.0
2019-09-12,Cobden,IL,37.6,-89.2,1.0,,6580.0
2019-09-12,Rochester,MN,44.0,-92.5,2.0,,6581.0
2019-09-12,Scranton,PA,41.4,-75.7,1.0,,6582.0
2019-09-12,Saint Simons Island,GA,31.2,-81.4,1.0,,6583.0
2019-09-12,Indianapolis,IN,39.9,-86.2,35.0,,6652.0
2019-09-12,Saint Clair Shores,MI,42.5,-82.9,2.0,,6584.0
2019-09-12,Howard,OH,40.4,-82.3,4.0,,6585.0
2019-09-12,Brampton,ON,43.7,-79.8,30.0,,6586.0
2019-09-12,Freeland,PA,41.0,-75.9,2.0,,6587.0
2019-09-12,Harrisville,MI,44.6,-83.3,1.0,,6588.0
2019-09-12,New Albany,IN,38.3,-85.8,1.0,,6589.0
2019-09-12,Saugatuck,MI,42.7,-86.2,2.0,,6590.0
2019-09-12,Lunenburg Municipal District,NS,44.3,-64.5,2.0,,6591.0
2019-09-12,Naperville,IL,41.8,-88.2,1.0,,6592.0
2019-09-12,Liberty,IN,39.6,-84.9,1.0,,6593.0
2019-09-12,Vestal,NY,42.1,-76.0,1.0,,6594.0
2019-09-12,Vestal,NY,42.1,-76.0,1.0,,6595.0
2019-09-12,Orleans,VT,44.9,-72.2,10.0,,6596.0
2019-09-12,Oklahoma City,OK,35.5,-97.5,4.0,,6597.0
2019-09-12,Albany,NY,42.6,-73.8,1.0,,6598.0
2019-09-12,Wyncote,PA,40.1,-75.1,1.0,,6599.0
2019-09-12,Ashton,IL,41.9,-89.2,1.0,,6600.0
2019-09-12,Plympton-Wyoming,ON,43.0,-82.2,1000.0,,6601.0
2019-09-12,Melbourne,IA,41.9,-93.1,33.0,,6602.0
2019-09-12,Centertown,MO,38.6,-92.4,2.0,,6576.0
2019-09-12,Rhodes,IA,41.9,-93.2,14.0,,6603.0
2019-09-12,Oxford,OH,39.5,-84.8,1.0,,6575.0
2019-09-12,Bradenton,FL,27.4,-82.5,1.0,,6543.0
2019-09-12,Lusby,MD,38.4,-76.5,1.0,,6570.0
2019-09-12,Greene,NY,42.4,-75.8,1.0,,6569.0
2019-09-12,Columbus,OH,40.0,-83.0,1.0,,6568.0
2019-09-12,Lincoln,NB,45.9,-66.6,6.0,,6567.0
2019-09-12,Indianapolis,IN,39.9,-86.0,3.0,,6566.0
2019-09-12,Rutland,VT,43.6,-73.0,2.0,,6565.0
2019-09-12,Washington,DC,38.9,-77.0,2.0,,6564.0
2019-09-12,Omaha,NE,41.1,-96.2,1.0,,6563.0
2019-09-12,Glencoe,IL,42.1,-87.8,5.0,,6562.0
2019-09-12,Hartland,ME,44.9,-69.5,1.0,,6561.0
2019-09-12,Charlottesville,VA,38.0,-78.5,1.0,,6560.0
2019-09-12,Chatham-Kent,ON,42.4,-82.2,6.0,,6559.0
2019-09-12,Cape May Point,NJ,38.9,-75.0,50.0,,6573.0
2019-09-12,Port Clinton,OH,41.5,-82.9,2.0,,6557.0
2019-09-12,LaSalle,ON,42.2,-83.1,1.0,,6556.0
2019-09-12,Hillsboro,TN,35.4,-86.0,1.0,,6555.0
2019-09-12,Waterville,ME,44.5,-69.7,2.0,,6554.0
2019-09-12,Newton,NJ,41.1,-74.8,1.0,,6553.0
2019-09-12,Saratoga Springs,NY,43.1,-73.8,1.0,,6552.0
2019-09-12,Sandusky,OH,41.5,-82.8,4.0,,6551.0
2019-09-12,Chicago,IL,41.9,-87.7,1.0,,6550.0
2019-09-12,Greenville,SC,34.8,-82.4,1.0,,6549.0
2019-09-12,Shawnee,KS,39.0,-94.7,1.0,,6548.0
2019-09-12,Biloxi,MS,30.5,-89.0,1.0,,6547.0
2019-09-12,Natchez,MS,31.6,-91.4,2.0,,6546.0
2019-09-12,Saint Louis,MO,38.5,-90.4,1.0,,6545.0
2019-09-12,Martin,TN,36.4,-88.8,1.0,,6544.0
2019-09-12,Scranton,PA,41.4,-75.7,8.0,,6574.0
2019-09-12,Stroudsburg,PA,41.0,-75.2,1.0,,6604.0
2019-09-12,Indianapolis,IN,39.8,-86.2,12.0,,6605.0
2019-09-12,Omaha,NE,41.2,-96.0,2.0,,6606.0
2019-09-12,Cambridge,IL,41.3,-90.2,100.0,,6639.0
2019-09-12,Fort Wayne,IN,41.1,-85.1,1.0,,6640.0
2019-09-12,Fort Wayne,IN,41.0,-85.1,1.0,,6641.0
2019-09-12,Magog,QC,45.3,-72.1,1.0,,6642.0
2019-09-12,Bell Twp,PA,40.9,-78.9,25.0,,6643.0
2019-09-12,Otinapa,DUR,24.0,-105.0,3.0,,6644.0
2019-09-12,Judsonia,AR,35.4,-91.7,11.0,,6645.0
2019-09-12,Saint Louis,MO,38.6,-90.3,1.0,,6646.0
2019-09-12,Poplar Bluff,MO,36.8,-90.4,1.0,,6647.0
2019-09-12,Middletown,MD,39.4,-77.6,2.0,,6648.0
2019-09-12,Annapolis,MD,38.9,-76.5,1.0,,6649.0
2019-09-12,Sioux City,IA,42.5,-96.4,2.0,,6650.0
2019-09-12,Kerns,ON,47.6,-79.9,1.0,,6651.0
2019-09-12,Town of Wolcott,VT,44.6,-72.4,12.0,,6667.0
2019-09-12,Gary,IN,41.6,-87.4,6.0,,6666.0
2019-09-12,Cumberland Foreside,ME,43.7,-70.2,1.0,,6665.0
2019-09-12,Burlington,ON,43.3,-79.9,50.0,,6664.0
2019-09-12,Toronto,ON,43.6,-79.4,20.0,,6663.0
2019-09-12,Jensen,UT,40.5,-108.9,4.0,,6662.0
2019-09-12,Halifax,NS,44.7,-63.5,1.0,,6661.0
2019-09-12,Beaufort,SC,32.4,-80.7,2.0,,6660.0
2019-09-12,Lansing,NY,42.6,-76.5,5.0,,6659.0
2019-09-12,Northfield,OH,41.3,-81.6,7.0,,6658.0
2019-09-12,Oak Creek,WI,42.9,-87.9,48.0,,6657.0
2019-09-12,Waynesboro,MS,31.4,-88.7,1.0,,6656.0
2019-09-12,Grosse Pointe,MI,42.4,-82.9,7.0,,6655.0
2019-09-12,Akron,OH,41.1,-81.5,5.0,,6654.0
2019-09-12,Wexford,PA,40.6,-80.1,4.0,,6638.0
2019-09-12,London,ON,43.0,-81.3,4.0,,6637.0
2019-09-12,Caledon,ON,43.7,-79.9,5.0,,6636.0
2019-09-12,Cambridge,IL,41.3,-90.2,100.0,,6635.0
2019-09-12,Minnesota Lake,MN,43.9,-93.8,12.0,,6607.0
2019-09-12,Mankato,MN,44.2,-94.0,1.0,,6608.0
2019-09-12,Garrettsville,OH,41.3,-81.1,7.0,,6609.0
2019-09-12,Newport News,VA,37.1,-76.5,4.0,,6610.0
2019-09-12,Grand Rapids,MI,43.0,-85.7,1.0,,6611.0
2019-09-12,Benezett,PA,41.3,-78.4,30.0,,6612.0
2019-09-12,Wilkes Barre,PA,41.2,-75.8,1.0,,6613.0
